02/29 09:06:00 PM | # START #
02/29 09:06:33 PM | #### Train: [  2/100] Step 2430/3950 MSE 0.0028+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2460/3950 MSE 0.0027+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2490/3950 MSE 0.0027+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2520/3950 MSE 0.0027+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2550/3950 MSE 0.0027+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2580/3950 MSE 0.0026+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2610/3950 MSE 0.0026+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2640/3950 MSE 0.0026+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2670/3950 MSE 0.0026+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2700/3950 MSE 0.0026+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2730/3950 MSE 0.0025+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2760/3950 MSE 0.0025+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2790/3950 MSE 0.0025+-0.00000
02/29 09:06:34 PM | #### Train: [  2/100] Step 2820/3950 MSE 0.0025+-0.00000
02/29 09:06:35 PM | #### Train: [  2/100] Step 2850/3950 MSE 0.0025+-0.00000
02/29 09:06:35 PM | #### Train: [  2/100] Step 2880/3950 MSE 0.0025+-0.00000
02/29 09:06:35 PM | #### Train: [  2/100] Step 2910/3950 MSE 0.0024+-0.00000
02/29 09:06:35 PM | #### Train: [  2/100] Step 2940/3950 MSE 0.0024+-0.00000
02/29 09:06:35 PM | #### Train: [  2/100] Step 2970/3950 MSE 0.0024+-0.00000
02/29 09:06:35 PM | #### Train: [  2/100] Step 3000/3950 MSE 0.0024+-0.00000
02/29 09:06:35 PM | #### Train: [  2/100] Step 3030/3950 MSE 0.0024+-0.00000
02/29 09:06:35 PM | #### Train: [  2/100] Step 3060/3950 MSE 0.0023+-0.00000
02/29 09:06:35 PM | #### Train: [  2/100] Step 3090/3950 MSE 0.0023+-0.00000
02/29 09:06:35 PM | #### Train: [  2/100] Step 3120/3950 MSE 0.0023+-0.00000
02/29 09:06:35 PM | #### Train: [  2/100] Step 3150/3950 MSE 0.0023+-0.00000
02/29 09:06:36 PM | #### Train: [  2/100] Step 3180/3950 MSE 0.0023+-0.00000
02/29 09:06:36 PM | #### Train: [  2/100] Step 3210/3950 MSE 0.0022+-0.00000
02/29 09:06:36 PM | #### Train: [  2/100] Step 3240/3950 MSE 0.0022+-0.00000
02/29 09:06:36 PM | #### Train: [  2/100] Step 3270/3950 MSE 0.0022+-0.00000
02/29 09:06:36 PM | #### Train: [  2/100] Step 3300/3950 MSE 0.0022+-0.00000
02/29 09:06:36 PM | #### Train: [  2/100] Step 3330/3950 MSE 0.0022+-0.00000
02/29 09:06:36 PM | #### Train: [  2/100] Step 3360/3950 MSE 0.0022+-0.00000
02/29 09:06:36 PM | #### Train: [  2/100] Step 3390/3950 MSE 0.0022+-0.00000
02/29 09:06:36 PM | #### Train: [  2/100] Step 3420/3950 MSE 0.0021+-0.00000
